"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2022","2022","25-34 years","25-34",685,45501300,1.5,1.4,1.6
,"Influenza and pneumonia","J09-J18","2022","2022","35-44 years","35-44",1539,43695365,3.5,3.3,3.7
,"Influenza and pneumonia","J09-J18","2022","2022","45-54 years","45-54",3677,40431645,9.1,8.8,9.4
,"Influenza and pneumonia","J09-J18","2022","2022","55-64 years","55-64",9490,42085437,22.5,22.1,23.0
,"Influenza and pneumonia","J09-J18","2022","2022","65-74 years","65-74",15534,33788439,46.0,45.3,46.7
,"Influenza and pneumonia","J09-J18","2022","2022","75-84 years","75-84",16240,17520545,92.7,91.3,94.1
,"Influenza and pneumonia","J09-J18","2022","2022","85+ years","85+",13263,6485868,204.5,201.0,208.0
,"Influenza and pneumonia","J09-J18","2022","2022","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","< 1 year","1",40,3648654,1.1,0.8,1.5
,"Influenza and pneumonia","J09-J18","2023","2023","1-4 years","1-4",43,14862506,0.3,0.2,0.4
,"Influenza and pneumonia","J09-J18","2023","2023","5-14 years","5-14",61,40987321,0.1,0.1,0.2
,"Influenza and pneumonia","J09-J18","2023","2023","15-24 years","15-24",149,43886652,0.3,0.3,0.4
,"Influenza and pneumonia","J09-J18","2023","2023","25-34 years","25-34",567,45542516,1.2,1.1,1.3
,"Influenza and pneumonia","J09-J18","2023","2023","35-44 years","35-44",1207,44390693,2.7,2.6,2.9
,"Influenza and pneumonia","J09-J18","2023","2023","45-54 years","45-54",2619,40493781,6.5,6.2,6.7
,"Influenza and pneumonia","J09-J18","2023","2023","55-64 years","55-64",6993,41854411,16.7,16.3,17.1
,"Influenza and pneumonia","J09-J18","2023","2023","65-74 years","65-74",12336,34685284,35.6,34.9,36.2
,"Influenza and pneumonia","J09-J18","2023","2023","75-84 years","75-84",14499,18368097,78.9,77.7,80.2
,"Influenza and pneumonia","J09-J18","2023","2023","85+ years","85+",12381,6194980,199.9,196.3,203.4
,"Influenza and pneumonia","J09-J18","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2024","2024","< 1 year","1",31,3615598,0.9,0.6,1.2
,"Influenza and pneumonia","J09-J18","2024","2024","1-4 years","1-4",39,14983716,0.3,0.2,0.4
,"Influenza and pneumonia","J09-J18","2024","2024","5-14 years","5-14",37,41098826,0.1,0.1,0.1
,"Influenza and pneumonia","J09-J18","2024","2024","15-24 years","15-24",134,44797761,0.3,0.2,0.3
,"Influenza and pneumonia","J09-J18","2024","2024","25-34 years","25-34",504,46453864,1.1,1.0,1.2
,"Influenza and pneumonia","J09-J18","2024","2024","35-44 years","35-44",1206,45539224,2.6,2.5,2.8
,"Influenza and pneumonia","J09-J18","2024","2024","45-54 years","45-54",2603,40780356,6.4,6.1,6.6
,"Influenza and pneumonia","J09-J18","2024","2024","55-64 years","55-64",6563,41661725,15.8,15.4,16.1
,"Influenza and pneumonia","J09-J18","2024","2024","65-74 years","65-74",12331,35444962,34.8,34.2,35.4
,"Influenza and pneumonia","J09-J18","2024","2024","75-84 years","75-84",14800,19299813,76.7,75.4,77.9
,"Influenza and pneumonia","J09-J18","2024","2024","85+ years","85+",12424,6435143,193.1,189.7,196.5
,"Influenza and pneumonia","J09-J18","2024","2024","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","< 1 year","1",24,3615598,0.7,0.4,1.0
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","1-4 years","1-4",36,14983716,0.2,0.2,0.3
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","5-14 years","5-14",44,41098826,0.1,0.1,0.1
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","15-24 years","15-24",115,44797761,0.3,0.2,0.3
,"Influenza and pneumonia","J09-J18","2025 (provisional)","2025","25-34 years","25-34",434,46453864,0.9,0.8,1.0
