"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Influenza and pneumonia","J09-J18","2012","2012","Louisiana","22",2058,4601893,44.7,44.4
,"Influenza and pneumonia","J09-J18","2012","2012","Maine","23",764,1329192,57.5,42.7
,"Influenza and pneumonia","J09-J18","2012","2012","Maryland","24",2899,5884563,49.3,46.1
,"Influenza and pneumonia","J09-J18","2012","2012","Massachusetts","25",4006,6646144,60.3,48.2
,"Influenza and pneumonia","J09-J18","2012","2012","Michigan","26",5079,9883360,51.4,43.3
,"Influenza and pneumonia","J09-J18","2012","2012","Minnesota","27",2370,5379139,44.1,37.5
,"Influenza and pneumonia","J09-J18","2012","2012","Mississippi","28",1583,2984926,53.0,50.9
,"Influenza and pneumonia","J09-J18","2012","2012","Missouri","29",3236,6021988,53.7,45.5
,"Influenza and pneumonia","J09-J18","2012","2012","Montana","30",453,1005141,45.1,35.9
,"Influenza and pneumonia","J09-J18","2012","2012","Nebraska","31",954,1855525,51.4,43.1
,"Influenza and pneumonia","J09-J18","2012","2012","Nevada","32",1112,2758931,40.3,41.9
,"Influenza and pneumonia","J09-J18","2012","2012","New Hampshire","33",637,1320718,48.2,40.6
,"Influenza and pneumonia","J09-J18","2012","2012","New Jersey","34",3612,8864590,40.7,34.3
,"Influenza and pneumonia","J09-J18","2012","2012","New Mexico","35",1094,2085538,52.5,48.4
,"Influenza and pneumonia","J09-J18","2012","2012","New York","36",10833,19570261,55.4,46.7
,"Influenza and pneumonia","J09-J18","2012","2012","North Carolina","37",5714,9752073,58.6,55.4
,"Influenza and pneumonia","J09-J18","2012","2012","North Dakota","38",413,699628,59.0,45.8
,"Influenza and pneumonia","J09-J18","2012","2012","Ohio","39",6848,11544225,59.3,49.0
,"Influenza and pneumonia","J09-J18","2012","2012","Oklahoma","40",2273,3814820,59.6,54.8
,"Influenza and pneumonia","J09-J18","2012","2012","Oregon","41",1521,3899353,39.0,32.3
,"Influenza and pneumonia","J09-J18","2012","2012","Pennsylvania","42",7127,12763536,55.8,41.1
,"Influenza and pneumonia","J09-J18","2012","2012","Rhode Island","44",677,1050292,64.5,47.8
,"Influenza and pneumonia","J09-J18","2012","2012","South Carolina","45",2451,4723723,51.9,48.2
,"Influenza and pneumonia","J09-J18","2012","2012","South Dakota","46",512,833354,61.4,47.3
,"Influenza and pneumonia","J09-J18","2012","2012","Tennessee","47",4243,6456243,65.7,60.9
,"Influenza and pneumonia","J09-J18","2012","2012","Texas","48",10680,26059203,41.0,47.4
,"Influenza and pneumonia","J09-J18","2012","2012","Utah","49",1000,2855287,35.0,46.0
,"Influenza and pneumonia","J09-J18","2012","2012","Vermont","50",367,626011,58.6,46.2
,"Influenza and pneumonia","J09-J18","2012","2012","Virginia","51",3585,8185867,43.8,43.1
,"Influenza and pneumonia","J09-J18","2012","2012","Washington","53",3174,6897012,46.0,43.2
,"Influenza and pneumonia","J09-J18","2012","2012","West Virginia","54",1484,1855413,80.0,63.0
,"Influenza and pneumonia","J09-J18","2012","2012","Wisconsin","55",2766,5726398,48.3,39.5
,"Influenza and pneumonia","J09-J18","2012","2012","Wyoming","56",225,576412,39.0,38.2
"Total","Influenza and pneumonia","J09-J18","2012","2012",,,155098,313914040,49.4,44.4
,"Influenza and pneumonia","J09-J18","2013","2013","Alabama","01",2775,4833722,57.4,50.9
,"Influenza and pneumonia","J09-J18","2013","2013","Alaska","02",208,735132,28.3,43.4
,"Influenza and pneumonia","J09-J18","2013","2013","Arizona","04",2628,6626624,39.7,34.9
,"Influenza and pneumonia","J09-J18","2013","2013","Arkansas","05",2089,2959373,70.6,60.9
,"Influenza and pneumonia","J09-J18","2013","2013","California","06",18570,38332521,48.4,47.1
,"Influenza and pneumonia","J09-J18","2013","2013","Colorado","08",1698,5268367,32.2,33.4
,"Influenza and pneumonia","J09-J18","2013","2013","Connecticut","09",1840,3596080,51.2,38.1
,"Influenza and pneumonia","J09-J18","2013","2013","Delaware","10",452,925749,48.8,40.9
,"Influenza and pneumonia","J09-J18","2013","2013","District of Columbia","11",226,646449,35.0,36.8
,"Influenza and pneumonia","J09-J18","2013","2013","Florida","12",8406,19552860,43.0,30.0
,"Influenza and pneumonia","J09-J18","2013","2013","Georgia","13",4107,9992167,41.1,45.4
