"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2013","2013","Alabama","01",93,4833722,1.9,1.6,2.4,1.7,1.4,2.1
,"Influenza and pneumonia","J09-J18","2013","2013","Alaska","02",Suppressed,735132,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2013","2013","Arizona","04",88,6626624,1.3,1.1,1.6,1.2,1.0,1.5
,"Influenza and pneumonia","J09-J18","2013","2013","Arkansas","05",47,2959373,1.6,1.2,2.1,1.3,1.0,1.8
,"Influenza and pneumonia","J09-J18","2013","2013","California","06",387,38332521,1.0,0.9,1.1,1.0,0.9,1.1
,"Influenza and pneumonia","J09-J18","2013","2013","Colorado","08",38,5268367,0.7,0.5,1.0,0.6,0.5,0.9
,"Influenza and pneumonia","J09-J18","2013","2013","Connecticut","09",30,3596080,0.8,0.6,1.2,0.6,0.4,0.9
,"Influenza and pneumonia","J09-J18","2013","2013","Delaware","10",16,925749,Unreliable,1.0,2.8,Unreliable,0.8,2.4
,"Influenza and pneumonia","J09-J18","2013","2013","District of Columbia","11",Suppressed,646449,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2013","2013","Florida","12",235,19552860,1.2,1.0,1.4,1.0,0.8,1.1
,"Influenza and pneumonia","J09-J18","2013","2013","Georgia","13",111,9992167,1.1,0.9,1.3,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2013","2013","Hawaii","15",18,1404054,Unreliable,0.8,2.0,Unreliable,0.6,1.8
,"Influenza and pneumonia","J09-J18","2013","2013","Idaho","16",19,1612136,Unreliable,0.7,1.8,Unreliable,0.6,1.7
,"Influenza and pneumonia","J09-J18","2013","2013","Illinois","17",130,12882135,1.0,0.8,1.2,0.9,0.8,1.1
,"Influenza and pneumonia","J09-J18","2013","2013","Indiana","18",88,6570902,1.3,1.1,1.6,1.2,0.9,1.5
,"Influenza and pneumonia","J09-J18","2013","2013","Iowa","19",23,3090416,0.7,0.5,1.1,0.6,0.3,0.8
,"Influenza and pneumonia","J09-J18","2013","2013","Kansas","20",23,2893957,0.8,0.5,1.2,0.8,0.5,1.1
,"Influenza and pneumonia","J09-J18","2013","2013","Kentucky","21",62,4395295,1.4,1.1,1.8,1.2,0.9,1.6
,"Influenza and pneumonia","J09-J18","2013","2013","Louisiana","22",58,4625470,1.3,1.0,1.6,1.2,0.9,1.5
,"Influenza and pneumonia","J09-J18","2013","2013","Maine","23",19,1328302,Unreliable,0.9,2.2,Unreliable,0.6,1.7
,"Influenza and pneumonia","J09-J18","2013","2013","Maryland","24",72,5928814,1.2,1.0,1.5,1.1,0.9,1.4
,"Influenza and pneumonia","J09-J18","2013","2013","Massachusetts","25",61,6692824,0.9,0.7,1.2,0.8,0.6,1.0
,"Influenza and pneumonia","J09-J18","2013","2013","Michigan","26",100,9895622,1.0,0.8,1.2,0.9,0.7,1.1
,"Influenza and pneumonia","J09-J18","2013","2013","Minnesota","27",55,5420380,1.0,0.8,1.3,0.9,0.7,1.2
,"Influenza and pneumonia","J09-J18","2013","2013","Mississippi","28",43,2991207,1.4,1.0,1.9,1.3,0.9,1.8
,"Influenza and pneumonia","J09-J18","2013","2013","Missouri","29",64,6044171,1.1,0.8,1.4,0.9,0.7,1.2
,"Influenza and pneumonia","J09-J18","2013","2013","Montana","30",Suppressed,1015165,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Influenza and pneumonia","J09-J18","2013","2013","Nebraska","31",19,1868516,Unreliable,0.6,1.6,Unreliable,0.5,1.4
,"Influenza and pneumonia","J09-J18","2013","2013","Nevada","32",30,2790136,1.1,0.7,1.5,1.1,0.7,1.5
,"Influenza and pneumonia","J09-J18","2013","2013","New Hampshire","33",12,1323459,Unreliable,0.5,1.6,Unreliable,0.4,1.4
