"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2019","2019","Kansas","20",1891,2913314,64.9,62.0,67.8,51.9,49.5,54.4
,"Other bacterial diseases","A30-A49","2019","2019","Kentucky","21",4570,4467673,102.3,99.3,105.3,83.1,80.7,85.6
,"Other bacterial diseases","A30-A49","2019","2019","Louisiana","22",3283,4648794,70.6,68.2,73.0,59.9,57.8,62.0
,"Other bacterial diseases","A30-A49","2019","2019","Maine","23",434,1344212,32.3,29.2,35.3,22.4,20.2,24.8
,"Other bacterial diseases","A30-A49","2019","2019","Maryland","24",3612,6045680,59.7,57.8,61.7,49.4,47.7,51.0
,"Other bacterial diseases","A30-A49","2019","2019","Massachusetts","25",4169,6892503,60.5,58.6,62.3,46.1,44.7,47.5
,"Other bacterial diseases","A30-A49","2019","2019","Michigan","26",6357,9986857,63.7,62.1,65.2,48.6,47.4,49.8
,"Other bacterial diseases","A30-A49","2019","2019","Minnesota","27",2452,5639632,43.5,41.8,45.2,34.9,33.5,36.4
,"Other bacterial diseases","A30-A49","2019","2019","Mississippi","28",2704,2976149,90.9,87.4,94.3,76.3,73.4,79.3
,"Other bacterial diseases","A30-A49","2019","2019","Missouri","29",3693,6137428,60.2,58.2,62.1,46.6,45.1,48.1
,"Other bacterial diseases","A30-A49","2019","2019","Montana","30",585,1068778,54.7,50.3,59.2,41.0,37.7,44.6
,"Other bacterial diseases","A30-A49","2019","2019","Nebraska","31",1033,1934408,53.4,50.1,56.7,43.5,40.9,46.4
,"Other bacterial diseases","A30-A49","2019","2019","Nevada","32",1821,3080156,59.1,56.4,61.8,50.9,48.5,53.3
,"Other bacterial diseases","A30-A49","2019","2019","New Hampshire","33",745,1359711,54.8,50.9,58.7,40.3,37.4,43.4
,"Other bacterial diseases","A30-A49","2019","2019","New Jersey","34",6540,8882190,73.6,71.8,75.4,57.0,55.6,58.4
,"Other bacterial diseases","A30-A49","2019","2019","New Mexico","35",1309,2096829,62.4,59.0,65.8,50.1,47.3,53.0
,"Other bacterial diseases","A30-A49","2019","2019","New York","36",10793,19453561,55.5,54.4,56.5,42.2,41.4,43.1
,"Other bacterial diseases","A30-A49","2019","2019","North Carolina","37",6647,10488084,63.4,61.9,64.9,52.0,50.8,53.3
,"Other bacterial diseases","A30-A49","2019","2019","North Dakota","38",439,762062,57.6,52.2,63.0,47.4,42.9,52.2
,"Other bacterial diseases","A30-A49","2019","2019","Ohio","39",7472,11689100,63.9,62.5,65.4,49.1,48.0,50.2
,"Other bacterial diseases","A30-A49","2019","2019","Oklahoma","40",3397,3956971,85.8,83.0,88.7,72.1,69.7,74.6
,"Other bacterial diseases","A30-A49","2019","2019","Oregon","41",1839,4217737,43.6,41.6,45.6,33.9,32.3,35.5
,"Other bacterial diseases","A30-A49","2019","2019","Pennsylvania","42",8712,12801989,68.1,66.6,69.5,48.2,47.2,49.3
,"Other bacterial diseases","A30-A49","2019","2019","Rhode Island","44",624,1059361,58.9,54.3,63.5,43.0,39.6,46.6
,"Other bacterial diseases","A30-A49","2019","2019","South Carolina","45",4183,5148714,81.2,78.8,83.7,63.9,61.9,65.9
,"Other bacterial diseases","A30-A49","2019","2019","South Dakota","46",634,884659,71.7,66.1,77.2,56.4,51.9,61.1
,"Other bacterial diseases","A30-A49","2019","2019","Tennessee","47",5328,6829174,78.0,75.9,80.1,63.7,61.9,65.4
,"Other bacterial diseases","A30-A49","2019","2019","Texas","48",17057,28995881,58.8,57.9,59.7,59.5,58.6,60.4
,"Other bacterial diseases","A30-A49","2019","2019","Utah","49",1135,3205958,35.4,33.3,37.5,41.0,38.6,43.5
,"Other bacterial diseases","A30-A49","2019","2019","Vermont","50",271,623989,43.4,38.3,48.6,30.3,26.7,34.4
,"Other bacterial diseases","A30-A49","2019","2019","Virginia","51",4615,8535519,54.1,52.5,55.6,45.4,44.0,46.7
,"Other bacterial diseases","A30-A49","2019","2019","Washington","53",4009,7614893,52.6,51.0,54.3,45.2,43.8,46.6
,"Other bacterial diseases","A30-A49","2019","2019","West Virginia","54",2054,1792147,114.6,109.7,119.6,80.7,77.2,84.4
,"Other bacterial diseases","A30-A49","2019","2019","Wisconsin","55",3055,5822434,52.5,50.6,54.3,40.2,38.8,41.7
,"Other bacterial diseases","A30-A49","2019","2019","Wyoming","56",263,578759,45.4,39.9,50.9,37.5,33.0,42.5
"Total","Other bacterial diseases","A30-A49","2019","2019",,,201092,328239523,61.3,61.0,61.5,49.7,49.5,49.9
,"Other bacterial diseases","A30-A49","2020","2020","Alabama","01",4975,4921532,101.1,98.3,103.9,79.1,76.9,81.4
,"Other bacterial diseases","A30-A49","2020","2020","Alaska","02",290,731158,39.7,35.1,44.2,43.1,38.0,48.6
,"Other bacterial diseases","A30-A49","2020","2020","Arizona","04",3326,7421401,44.8,43.3,46.3,34.9,33.7,36.1
,"Other bacterial diseases","A30-A49","2020","2020","Arkansas","05",2961,3030522,97.7,94.2,101.2,77.1,74.3,80.0
,"Other bacterial diseases","A30-A49","2020","2020","California","06",27018,39368078,68.6,67.8,69.4,59.2,58.5,59.9
,"Other bacterial diseases","A30-A49","2020","2020","Colorado","08",2967,5807719,51.1,49.2,52.9,46.5,44.8,48.3
,"Other bacterial diseases","A30-A49","2020","2020","Connecticut","09",2744,3557006,77.1,74.3,80.0,55.3,53.2,57.4
,"Other bacterial diseases","A30-A49","2020","2020","Delaware","10",708,986809,71.7,66.5,77.0,50.7,47.0,54.7
,"Other bacterial diseases","A30-A49","2020","2020","District of Columbia","11",492,712816,69.0,62.9,75.1,70.0,63.9,76.6
,"Other bacterial diseases","A30-A49","2020","2020","Florida","12",16335,21733312,75.2,74.0,76.3,49.3,48.5,50.0
