"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","May, 2018","2018/05","85+ years","85+",3940,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","< 1 year","1",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","1-4 years","1-4",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","5-14 years","5-14",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","15-24 years","15-24",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","25-34 years","25-34",167,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","35-44 years","35-44",350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","45-54 years","45-54",916,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","55-64 years","55-64",2408,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","65-74 years","65-74",3618,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","75-84 years","75-84",3779,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","85+ years","85+",3822,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jun., 2018","2018/06","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","< 1 year","1",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","1-4 years","1-4",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","5-14 years","5-14",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","15-24 years","15-24",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","25-34 years","25-34",184,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","35-44 years","35-44",365,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","45-54 years","45-54",978,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","55-64 years","55-64",2418,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","65-74 years","65-74",3655,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","75-84 years","75-84",4155,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","85+ years","85+",3785,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Jul., 2018","2018/07","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","< 1 year","1",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","1-4 years","1-4",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","5-14 years","5-14",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","15-24 years","15-24",64,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","25-34 years","25-34",185,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","35-44 years","35-44",394,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","45-54 years","45-54",976,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","55-64 years","55-64",2449,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","65-74 years","65-74",3635,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","75-84 years","75-84",4081,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","85+ years","85+",3950,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Aug., 2018","2018/08","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","< 1 year","1",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","1-4 years","1-4",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","5-14 years","5-14",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","15-24 years","15-24",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","25-34 years","25-34",169,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","35-44 years","35-44",377,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","45-54 years","45-54",1005,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Sep., 2018","2018/09","55-64 years","55-64",2372,Not Applicable,Not Applicable,Not Applicable,Not Applicable
