"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2012","2012","Florida","12",9622,19317568,49.8,36.1
,"Other bacterial diseases","A30-A49","2012","2012","Georgia","13",5255,9919945,53.0,57.7
,"Other bacterial diseases","A30-A49","2012","2012","Hawaii","15",541,1392313,38.9,31.1
,"Other bacterial diseases","A30-A49","2012","2012","Idaho","16",544,1595728,34.1,32.7
,"Other bacterial diseases","A30-A49","2012","2012","Illinois","17",6968,12875255,54.1,49.6
,"Other bacterial diseases","A30-A49","2012","2012","Indiana","18",3767,6537334,57.6,52.6
,"Other bacterial diseases","A30-A49","2012","2012","Iowa","19",1364,3074186,44.4,34.7
,"Other bacterial diseases","A30-A49","2012","2012","Kansas","20",1277,2885905,44.2,38.8
,"Other bacterial diseases","A30-A49","2012","2012","Kentucky","21",2954,4380415,67.4,61.1
,"Other bacterial diseases","A30-A49","2012","2012","Louisiana","22",2959,4601893,64.3,62.8
,"Other bacterial diseases","A30-A49","2012","2012","Maine","23",615,1329192,46.3,34.6
,"Other bacterial diseases","A30-A49","2012","2012","Maryland","24",3219,5884563,54.7,51.1
,"Other bacterial diseases","A30-A49","2012","2012","Massachusetts","25",3324,6646144,50.0,41.6
,"Other bacterial diseases","A30-A49","2012","2012","Michigan","26",5726,9883360,57.9,49.0
,"Other bacterial diseases","A30-A49","2012","2012","Minnesota","27",1636,5379139,30.4,26.7
,"Other bacterial diseases","A30-A49","2012","2012","Mississippi","28",2050,2984926,68.7,64.7
,"Other bacterial diseases","A30-A49","2012","2012","Missouri","29",3122,6021988,51.8,44.4
,"Other bacterial diseases","A30-A49","2012","2012","Montana","30",328,1005141,32.6,26.8
,"Other bacterial diseases","A30-A49","2012","2012","Nebraska","31",682,1855525,36.8,32.0
,"Other bacterial diseases","A30-A49","2012","2012","Nevada","32",1335,2758931,48.4,48.9
,"Other bacterial diseases","A30-A49","2012","2012","New Hampshire","33",541,1320718,41.0,34.3
,"Other bacterial diseases","A30-A49","2012","2012","New Jersey","34",6228,8864590,70.3,60.1
,"Other bacterial diseases","A30-A49","2012","2012","New Mexico","35",1041,2085538,49.9,45.5
,"Other bacterial diseases","A30-A49","2012","2012","New York","36",10085,19570261,51.5,44.2
,"Other bacterial diseases","A30-A49","2012","2012","North Carolina","37",5797,9752073,59.4,55.2
,"Other bacterial diseases","A30-A49","2012","2012","North Dakota","38",329,699628,47.0,39.4
,"Other bacterial diseases","A30-A49","2012","2012","Ohio","39",6864,11544225,59.5,49.7
,"Other bacterial diseases","A30-A49","2012","2012","Oklahoma","40",2416,3814820,63.3,58.0
,"Other bacterial diseases","A30-A49","2012","2012","Oregon","41",1462,3899353,37.5,31.2
,"Other bacterial diseases","A30-A49","2012","2012","Pennsylvania","42",8055,12763536,63.1,48.2
,"Other bacterial diseases","A30-A49","2012","2012","Rhode Island","44",640,1050292,60.9,47.1
,"Other bacterial diseases","A30-A49","2012","2012","South Carolina","45",3023,4723723,64.0,57.7
,"Other bacterial diseases","A30-A49","2012","2012","South Dakota","46",363,833354,43.6,36.2
,"Other bacterial diseases","A30-A49","2012","2012","Tennessee","47",4053,6456243,62.8,57.3
,"Other bacterial diseases","A30-A49","2012","2012","Texas","48",14045,26059203,53.9,60.6
,"Other bacterial diseases","A30-A49","2012","2012","Utah","49",803,2855287,28.1,35.7
,"Other bacterial diseases","A30-A49","2012","2012","Vermont","50",266,626011,42.5,34.3
,"Other bacterial diseases","A30-A49","2012","2012","Virginia","51",4418,8185867,54.0,52.4
