"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Influenza and pneumonia","J09-J18","2011","2011","1-4 years","1-4",38,16165521,0.2
,"Influenza and pneumonia","J09-J18","2011","2011","5-14 years","5-14",49,41039048,0.1
,"Influenza and pneumonia","J09-J18","2011","2011","15-24 years","15-24",144,43797875,0.3
,"Influenza and pneumonia","J09-J18","2011","2011","25-34 years","25-34",377,41790498,0.9
,"Influenza and pneumonia","J09-J18","2011","2011","35-44 years","35-44",737,40627954,1.8
,"Influenza and pneumonia","J09-J18","2011","2011","45-54 years","45-54",2468,44718203,5.5
,"Influenza and pneumonia","J09-J18","2011","2011","55-64 years","55-64",4719,38062140,12.4
,"Influenza and pneumonia","J09-J18","2011","2011","65-74 years","65-74",6564,22481738,29.2
,"Influenza and pneumonia","J09-J18","2011","2011","75-84 years","75-84",9669,13175230,73.4
,"Influenza and pneumonia","J09-J18","2011","2011","85+ years","85+",10622,5737173,185.1
,"Influenza and pneumonia","J09-J18","2012","2012","< 1 year","1",52,3943077,1.3
,"Influenza and pneumonia","J09-J18","2012","2012","1-4 years","1-4",32,16056267,0.2
,"Influenza and pneumonia","J09-J18","2012","2012","5-14 years","5-14",34,41144754,0.1
,"Influenza and pneumonia","J09-J18","2012","2012","15-24 years","15-24",138,43943905,0.3
,"Influenza and pneumonia","J09-J18","2012","2012","25-34 years","25-34",353,42309321,0.8
,"Influenza and pneumonia","J09-J18","2012","2012","35-44 years","35-44",697,40516420,1.7
,"Influenza and pneumonia","J09-J18","2012","2012","45-54 years","45-54",2344,44268738,5.3
,"Influenza and pneumonia","J09-J18","2012","2012","55-64 years","55-64",4906,38586202,12.7
,"Influenza and pneumonia","J09-J18","2012","2012","65-74 years","65-74",6500,23985392,27.1
,"Influenza and pneumonia","J09-J18","2012","2012","75-84 years","75-84",9354,13272634,70.5
,"Influenza and pneumonia","J09-J18","2012","2012","85+ years","85+",10812,5887330,183.6
,"Influenza and pneumonia","J09-J18","2013","2013","< 1 year","1",35,3941783,0.9
,"Influenza and pneumonia","J09-J18","2013","2013","1-4 years","1-4",35,15926305,0.2
,"Influenza and pneumonia","J09-J18","2013","2013","5-14 years","5-14",34,41221035,0.1
,"Influenza and pneumonia","J09-J18","2013","2013","15-24 years","15-24",117,43954402,0.3
,"Influenza and pneumonia","J09-J18","2013","2013","25-34 years","25-34",372,42844587,0.9
,"Influenza and pneumonia","J09-J18","2013","2013","35-44 years","35-44",797,40452690,2.0
