"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Residence State","Residence State Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2019","2019","Kentucky","21",2816,4467673,63.0,60.7,65.4,51.9,49.9,53.8
,"Influenza and pneumonia","J09-J18","2019","2019","Louisiana","22",1616,4648794,34.8,33.1,36.5,30.1,28.6,31.6
,"Influenza and pneumonia","J09-J18","2019","2019","Maine","23",960,1344212,71.4,66.9,75.9,46.9,43.9,50.1
,"Influenza and pneumonia","J09-J18","2019","2019","Maryland","24",2608,6045680,43.1,41.5,44.8,35.6,34.3,37.1
,"Influenza and pneumonia","J09-J18","2019","2019","Massachusetts","25",3386,6892503,49.1,47.5,50.8,36.8,35.5,38.0
,"Influenza and pneumonia","J09-J18","2019","2019","Michigan","26",4522,9986857,45.3,44.0,46.6,34.8,33.7,35.8
,"Influenza and pneumonia","J09-J18","2019","2019","Minnesota","27",2227,5639632,39.5,37.8,41.1,31.3,30.0,32.7
,"Influenza and pneumonia","J09-J18","2019","2019","Mississippi","28",1848,2976149,62.1,59.3,64.9,52.6,50.2,55.1
,"Influenza and pneumonia","J09-J18","2019","2019","Missouri","29",2793,6137428,45.5,43.8,47.2,35.0,33.7,36.3
,"Influenza and pneumonia","J09-J18","2019","2019","Montana","30",411,1068778,38.5,34.7,42.2,28.5,25.8,31.5
,"Influenza and pneumonia","J09-J18","2019","2019","Nebraska","31",941,1934408,48.6,45.5,51.8,38.8,36.3,41.4
,"Influenza and pneumonia","J09-J18","2019","2019","Nevada","32",1182,3080156,38.4,36.2,40.6,33.9,32.0,36.0
,"Influenza and pneumonia","J09-J18","2019","2019","New Hampshire","33",548,1359711,40.3,36.9,43.7,29.5,27.0,32.2
,"Influenza and pneumonia","J09-J18","2019","2019","New Jersey","34",3348,8882190,37.7,36.4,39.0,28.8,27.8,29.8
,"Influenza and pneumonia","J09-J18","2019","2019","New Mexico","35",910,2096829,43.4,40.6,46.2,34.4,32.2,36.8
