"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","55-64 years","55-64",324,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","65-74 years","65-74",482,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","75-84 years","75-84",719,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Oct., 2010","2010/10","85+ years","85+",773,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","15-24 years","15-24",11,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","25-34 years","25-34",18,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","35-44 years","35-44",68,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","45-54 years","45-54",183,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","55-64 years","55-64",352,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","65-74 years","65-74",506,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","75-84 years","75-84",793,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Nov., 2010","2010/11","85+ years","85+",877,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","15-24 years","15-24",17,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","25-34 years","25-34",32,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","35-44 years","35-44",63,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","45-54 years","45-54",208,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","55-64 years","55-64",394,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","65-74 years","65-74",580,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","75-84 years","75-84",855,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Dec., 2010","2010/12","85+ years","85+",970,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","15-24 years","15-24",12,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","25-34 years","25-34",39,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","35-44 years","35-44",84,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","45-54 years","45-54",254,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","55-64 years","55-64",461,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","65-74 years","65-74",623,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","75-84 years","75-84",1004,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Jan., 2011","2011/01","85+ years","85+",1159,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","< 1 year","1",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","1-4 years","1-4",12,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","15-24 years","15-24",22,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","25-34 years","25-34",38,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","35-44 years","35-44",91,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2011","2011","Feb., 2011","2011/02","45-54 years","45-54",262,Not Applicable,Not Applicable
