"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","State","State Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2012","2012","Kentucky","21",694,4380415,15.8,14.4
,"Other bacterial diseases","A30-A49","2012","2012","Louisiana","22",520,4601893,11.3,11.1
,"Other bacterial diseases","A30-A49","2012","2012","Maine","23",122,1329192,9.2,6.8
,"Other bacterial diseases","A30-A49","2012","2012","Maryland","24",652,5884563,11.1,10.3
,"Other bacterial diseases","A30-A49","2012","2012","Massachusetts","25",727,6646144,10.9,9.0
,"Other bacterial diseases","A30-A49","2012","2012","Michigan","26",1175,9883360,11.9,10.1
,"Other bacterial diseases","A30-A49","2012","2012","Minnesota","27",328,5379139,6.1,5.3
,"Other bacterial diseases","A30-A49","2012","2012","Mississippi","28",416,2984926,13.9,13.1
,"Other bacterial diseases","A30-A49","2012","2012","Missouri","29",654,6021988,10.9,9.2
,"Other bacterial diseases","A30-A49","2012","2012","Montana","30",42,1005141,4.2,3.4
,"Other bacterial diseases","A30-A49","2012","2012","Nebraska","31",136,1855525,7.3,6.5
,"Other bacterial diseases","A30-A49","2012","2012","Nevada","32",398,2758931,14.4,14.7
,"Other bacterial diseases","A30-A49","2012","2012","New Hampshire","33",104,1320718,7.9,6.5
,"Other bacterial diseases","A30-A49","2012","2012","New Jersey","34",1047,8864590,11.8,10.1
,"Other bacterial diseases","A30-A49","2012","2012","New Mexico","35",238,2085538,11.4,10.4
,"Other bacterial diseases","A30-A49","2012","2012","New York","36",2536,19570261,13.0,11.0
,"Other bacterial diseases","A30-A49","2012","2012","North Carolina","37",1314,9752073,13.5,12.6
,"Other bacterial diseases","A30-A49","2012","2012","North Dakota","38",66,699628,9.4,7.6
,"Other bacterial diseases","A30-A49","2012","2012","Ohio","39",1354,11544225,11.7,9.7
,"Other bacterial diseases","A30-A49","2012","2012","Oklahoma","40",619,3814820,16.2,14.9
,"Other bacterial diseases","A30-A49","2012","2012","Oregon","41",286,3899353,7.3,6.0
,"Other bacterial diseases","A30-A49","2012","2012","Pennsylvania","42",1378,12763536,10.8,8.1
,"Other bacterial diseases","A30-A49","2012","2012","Rhode Island","44",137,1050292,13.0,9.9
,"Other bacterial diseases","A30-A49","2012","2012","South Carolina","45",639,4723723,13.5,12.3
,"Other bacterial diseases","A30-A49","2012","2012","South Dakota","46",67,833354,8.0,6.6
,"Other bacterial diseases","A30-A49","2012","2012","Tennessee","47",1044,6456243,16.2,14.7
,"Other bacterial diseases","A30-A49","2012","2012","Texas","48",2935,26059203,11.3,12.8
,"Other bacterial diseases","A30-A49","2012","2012","Utah","49",171,2855287,6.0,7.6
,"Other bacterial diseases","A30-A49","2012","2012","Vermont","50",47,626011,7.5,6.2
,"Other bacterial diseases","A30-A49","2012","2012","Virginia","51",783,8185867,9.6,9.3
,"Other bacterial diseases","A30-A49","2012","2012","Washington","53",667,6897012,9.7,9.0
,"Other bacterial diseases","A30-A49","2012","2012","West Virginia","54",319,1855413,17.2,13.4
,"Other bacterial diseases","A30-A49","2012","2012","Wisconsin","55",331,5726398,5.8,4.9
,"Other bacterial diseases","A30-A49","2012","2012","Wyoming","56",36,576412,6.2,6.0
"Total","Other bacterial diseases","A30-A49","2012","2012",,,35062,313914040,11.2,10.0
,"Other bacterial diseases","A30-A49","2013","2013","Alabama","01",691,4833722,14.3,12.4
,"Other bacterial diseases","A30-A49","2013","2013","Alaska","02",42,735132,5.7,8.1
,"Other bacterial diseases","A30-A49","2013","2013","Arizona","04",692,6626624,10.4,9.1
,"Other bacterial diseases","A30-A49","2013","2013","Arkansas","05",475,2959373,16.1,13.8
,"Other bacterial diseases","A30-A49","2013","2013","California","06",5086,38332521,13.3,12.9
,"Other bacterial diseases","A30-A49","2013","2013","Colorado","08",311,5268367,5.9,5.9
,"Other bacterial diseases","A30-A49","2013","2013","Connecticut","09",395,3596080,11.0,8.4
,"Other bacterial diseases","A30-A49","2013","2013","Delaware","10",127,925749,13.7,11.4
,"Other bacterial diseases","A30-A49","2013","2013","District of Columbia","11",80,646449,12.4,13.5
,"Other bacterial diseases","A30-A49","2013","2013","Florida","12",2151,19552860,11.0,7.8
,"Other bacterial diseases","A30-A49","2013","2013","Georgia","13",1061,9992167,10.6,11.4
,"Other bacterial diseases","A30-A49","2013","2013","Hawaii","15",134,1404054,9.5,7.7
,"Other bacterial diseases","A30-A49","2013","2013","Idaho","16",147,1612136,9.1,8.8
,"Other bacterial diseases","A30-A49","2013","2013","Illinois","17",1531,12882135,11.9,10.7
,"Other bacterial diseases","A30-A49","2013","2013","Indiana","18",837,6570902,12.7,11.4
,"Other bacterial diseases","A30-A49","2013","2013","Iowa","19",252,3090416,8.2,6.1
,"Other bacterial diseases","A30-A49","2013","2013","Kansas","20",238,2893957,8.2,7.0
,"Other bacterial diseases","A30-A49","2013","2013","Kentucky","21",736,4395295,16.7,14.8
,"Other bacterial diseases","A30-A49","2013","2013","Louisiana","22",523,4625470,11.3,10.7
,"Other bacterial diseases","A30-A49","2013","2013","Maine","23",122,1328302,9.2,6.7
,"Other bacterial diseases","A30-A49","2013","2013","Maryland","24",654,5928814,11.0,10.2
,"Other bacterial diseases","A30-A49","2013","2013","Massachusetts","25",814,6692824,12.2,9.9
,"Other bacterial diseases","A30-A49","2013","2013","Michigan","26",1302,9895622,13.2,11.0
,"Other bacterial diseases","A30-A49","2013","2013","Minnesota","27",320,5420380,5.9,5.1
,"Other bacterial diseases","A30-A49","2013","2013","Mississippi","28",529,2991207,17.7,16.3
,"Other bacterial diseases","A30-A49","2013","2013","Missouri","29",680,6044171,11.3,9.4
,"Other bacterial diseases","A30-A49","2013","2013","Montana","30",76,1015165,7.5,6.0
,"Other bacterial diseases","A30-A49","2013","2013","Nebraska","31",146,1868516,7.8,6.7
,"Other bacterial diseases","A30-A49","2013","2013","Nevada","32",451,2790136,16.2,15.9
,"Other bacterial diseases","A30-A49","2013","2013","New Hampshire","33",99,1323459,7.5,6.1
,"Other bacterial diseases","A30-A49","2013","2013","New Jersey","34",1123,8899339,12.6,10.6
,"Other bacterial diseases","A30-A49","2013","2013","New Mexico","35",222,2085287,10.6,9.7
,"Other bacterial diseases","A30-A49","2013","2013","New York","36",2861,19651127,14.6,12.2
,"Other bacterial diseases","A30-A49","2013","2013","North Carolina","37",1389,9848060,14.1,12.9
,"Other bacterial diseases","A30-A49","2013","2013","North Dakota","38",77,723393,10.6,8.6
,"Other bacterial diseases","A30-A49","2013","2013","Ohio","39",1451,11570808,12.5,10.4
,"Other bacterial diseases","A30-A49","2013","2013","Oklahoma","40",604,3850568,15.7,14.3
,"Other bacterial diseases","A30-A49","2013","2013","Oregon","41",326,3930065,8.3,6.8
,"Other bacterial diseases","A30-A49","2013","2013","Pennsylvania","42",1501,12773801,11.8,8.7
,"Other bacterial diseases","A30-A49","2013","2013","Rhode Island","44",159,1051511,15.1,11.7
,"Other bacterial diseases","A30-A49","2013","2013","South Carolina","45",662,4774839,13.9,12.2
,"Other bacterial diseases","A30-A49","2013","2013","South Dakota","46",68,844877,8.0,6.8
,"Other bacterial diseases","A30-A49","2013","2013","Tennessee","47",1091,6495978,16.8,15.0
,"Other bacterial diseases","A30-A49","2013","2013","Texas","48",3321,26448193,12.6,14.0
