"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Other bacterial diseases","A30-A49","2017","2017","Jun., 2017","2017/06",3448,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Jul., 2017","2017/07",3287,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Aug., 2017","2017/08",3246,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Sep., 2017","2017/09",3250,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Oct., 2017","2017/10",3633,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Nov., 2017","2017/11",3609,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2017","2017","Dec., 2017","2017/12",4659,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jan., 2010","2010/01",3285,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Feb., 2010","2010/02",2776,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Mar., 2010","2010/03",3148,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Apr., 2010","2010/04",2690,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","May, 2010","2010/05",2581,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jun., 2010","2010/06",2487,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Jul., 2010","2010/07",2358,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Aug., 2010","2010/08",2408,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Sep., 2010","2010/09",2473,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Oct., 2010","2010/10",2579,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Nov., 2010","2010/11",2833,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2010","2010","Dec., 2010","2010/12",3149,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jan., 2011","2011/01",3665,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Feb., 2011","2011/02",3552,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Mar., 2011","2011/03",3530,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Apr., 2011","2011/04",2989,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","May, 2011","2011/05",2849,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jun., 2011","2011/06",2640,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Jul., 2011","2011/07",2580,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Aug., 2011","2011/08",2445,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Sep., 2011","2011/09",2524,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Oct., 2011","2011/10",2737,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Nov., 2011","2011/11",2760,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2011","2011","Dec., 2011","2011/12",3169,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Jan., 2012","2012/01",3452,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Feb., 2012","2012/02",3072,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Mar., 2012","2012/03",3299,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Apr., 2012","2012/04",2931,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","May, 2012","2012/05",2789,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Jun., 2012","2012/06",2541,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Jul., 2012","2012/07",2572,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Aug., 2012","2012/08",2563,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Sep., 2012","2012/09",2562,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Oct., 2012","2012/10",2820,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Nov., 2012","2012/11",2916,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2012","2012","Dec., 2012","2012/12",3707,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Jan., 2013","2013/01",4656,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Feb., 2013","2013/02",3538,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Mar., 2013","2013/03",3677,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Apr., 2013","2013/04",3248,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","May, 2013","2013/05",2826,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Jun., 2013","2013/06",2702,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Jul., 2013","2013/07",2746,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Aug., 2013","2013/08",2844,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Sep., 2013","2013/09",2615,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2013","2013","Oct., 2013","2013/10",2881,Not Applicable,Not Applicable,Not Applicable
