"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","45-54 years","45-54",190,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","55-64 years","55-64",548,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","65-74 years","65-74",790,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","75-84 years","75-84",889,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Oct., 2018","2018/10","85+ years","85+",1044,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","15-24 years","15-24",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","25-34 years","25-34",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","35-44 years","35-44",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","45-54 years","45-54",190,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","55-64 years","55-64",532,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","65-74 years","65-74",801,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","75-84 years","75-84",890,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Nov., 2018","2018/11","85+ years","85+",1072,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","1-4 years","1-4",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","5-14 years","5-14",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","15-24 years","15-24",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","25-34 years","25-34",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","35-44 years","35-44",73,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","45-54 years","45-54",206,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","55-64 years","55-64",584,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2018","2018","Dec., 2018","2018/12","65-74 years","65-74",904,Not Applicable,Not Applicable,Not Applicable,Not Applicable
