"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Month","Month Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","35-44 years","35-44",318,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","45-54 years","45-54",1015,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","55-64 years","55-64",1839,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","65-74 years","65-74",2553,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","75-84 years","75-84",3583,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","85+ years","85+",3177,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Aug., 2010","2010/08","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","< 1 year","1",48,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","1-4 years","1-4",24,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","5-14 years","5-14",17,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","15-24 years","15-24",52,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","25-34 years","25-34",137,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","35-44 years","35-44",321,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","45-54 years","45-54",902,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","55-64 years","55-64",1830,Not Applicable,Not Applicable
,"Other bacterial diseases","A30-A49","2010","2010","Sep., 2010","2010/09","65-74 years","65-74",2444,Not Applicable,Not Applicable
