"Notes","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Influenza and pneumonia","J09-J18","2019","2019","75-84 years","75-84",36339,15969872,227.5,225.2,229.9
,"Influenza and pneumonia","J09-J18","2019","2019","85+ years","85+",49226,6604958,745.3,738.7,751.9
,"Influenza and pneumonia","J09-J18","2019","2019","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2020","2020","< 1 year","1",242,3735010,6.5,5.7,7.3
,"Influenza and pneumonia","J09-J18","2020","2020","1-4 years","1-4",133,15566282,0.9,0.7,1.0
,"Influenza and pneumonia","J09-J18","2020","2020","5-14 years","5-14",169,40992134,0.4,0.4,0.5
,"Influenza and pneumonia","J09-J18","2020","2020","15-24 years","15-24",765,42555684,1.8,1.7,1.9
,"Influenza and pneumonia","J09-J18","2020","2020","25-34 years","25-34",2701,46069646,5.9,5.6,6.1
,"Influenza and pneumonia","J09-J18","2020","2020","35-44 years","35-44",6086,42136192,14.4,14.1,14.8
,"Influenza and pneumonia","J09-J18","2020","2020","45-54 years","45-54",15773,40366133,39.1,38.5,39.7
,"Influenza and pneumonia","J09-J18","2020","2020","55-64 years","55-64",39897,42403677,94.1,93.2,95.0
,"Influenza and pneumonia","J09-J18","2020","2020","65-74 years","65-74",68823,32549398,211.4,209.9,213.0
,"Influenza and pneumonia","J09-J18","2020","2020","75-84 years","75-84",85044,16451547,516.9,513.5,520.4
,"Influenza and pneumonia","J09-J18","2020","2020","85+ years","85+",91985,6658420,1381.5,1372.6,1390.4
,"Influenza and pneumonia","J09-J18","2020","2020","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2021","2021","< 1 year","1",279,3564493,7.8,6.9,8.7
,"Influenza and pneumonia","J09-J18","2021","2021","1-4 years","1-4",166,15262845,1.1,0.9,1.3
,"Influenza and pneumonia","J09-J18","2021","2021","5-14 years","5-14",239,41739332,0.6,0.5,0.6
,"Influenza and pneumonia","J09-J18","2021","2021","15-24 years","15-24",1287,43088663,3.0,2.8,3.2
,"Influenza and pneumonia","J09-J18","2021","2021","25-34 years","25-34",5169,45495105,11.4,11.1,11.7
,"Influenza and pneumonia","J09-J18","2021","2021","35-44 years","35-44",12747,43403854,29.4,28.9,29.9
,"Influenza and pneumonia","J09-J18","2021","2021","45-54 years","45-54",28887,40688436,71.0,70.2,71.8
,"Influenza and pneumonia","J09-J18","2021","2021","55-64 years","55-64",61999,42803064,144.8,143.7,146.0
,"Influenza and pneumonia","J09-J18","2021","2021","65-74 years","65-74",90882,33666122,270.0,268.2,271.7
,"Influenza and pneumonia","J09-J18","2021","2021","75-84 years","75-84",92275,16206075,569.4,565.7,573.1
,"Influenza and pneumonia","J09-J18","2021","2021","85+ years","85+",80693,5975756,1350.3,1341.0,1359.7
,"Influenza and pneumonia","J09-J18","2021","2021","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2022","2022","< 1 year","1",374,3683113,10.2,9.1,11.2
,"Influenza and pneumonia","J09-J18","2022","2022","1-4 years","1-4",243,14855240,1.6,1.4,1.8
,"Influenza and pneumonia","J09-J18","2022","2022","5-14 years","5-14",261,40899034,0.6,0.6,0.7
,"Influenza and pneumonia","J09-J18","2022","2022","15-24 years","15-24",694,44341571,1.6,1.4,1.7
,"Influenza and pneumonia","J09-J18","2022","2022","25-34 years","25-34",2333,45501300,5.1,4.9,5.3
,"Influenza and pneumonia","J09-J18","2022","2022","35-44 years","35-44",5164,43695365,11.8,11.5,12.1
,"Influenza and pneumonia","J09-J18","2022","2022","45-54 years","45-54",11921,40431645,29.5,29.0,30.0
,"Influenza and pneumonia","J09-J18","2022","2022","55-64 years","55-64",30213,42085437,71.8,71.0,72.6
,"Influenza and pneumonia","J09-J18","2022","2022","65-74 years","65-74",52396,33788439,155.1,153.7,156.4
,"Influenza and pneumonia","J09-J18","2022","2022","75-84 years","75-84",63498,17520545,362.4,359.6,365.2
,"Influenza and pneumonia","J09-J18","2022","2022","85+ years","85+",64925,6485868,1001.0,993.3,1008.7
,"Influenza and pneumonia","J09-J18","2022","2022","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Influenza and pneumonia","J09-J18","2023","2023","< 1 year","1",303,3648654,8.3,7.4,9.2
