Disease,Model,Model Label,Projection Plausible,Minimum Projected AAMR,2025 Mean Predicted AAMR,2025/2019 Predicted Ratio,MAE,RMSE,MAPE (%),R-squared
Combined,recency_weighted_72_quadratic_month_fe,Recency-weighted quadratic trend + month effects (72-month half-life),False,0.5,0.625,0.6818181818181817,0.05416666666666666,0.0841625411530173,5.456649831649831,0.7342019543973943
Combined,log_recency_weighted_24_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (24-month half-life),False,0.5,0.6083333333333333,0.6636363636363635,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,log_recency_weighted_36_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (36-month half-life),False,0.5,0.65,0.709090909090909,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,log_recency_weighted_48_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (48-month half-life),False,0.5,0.6583333333333333,0.718181818181818,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,log_recency_weighted_60_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (60-month half-life),False,0.6,0.6749999999999999,0.7363636363636361,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,log_recency_weighted_72_quadratic_month_fe,Log recency-weighted quadratic trend + month effects (72-month half-life),False,0.6,0.6749999999999999,0.7363636363636361,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,anchored_quadratic_month_fe_20,"Quadratic trend + month effects, anchored 20% to recent seasonal mean",True,0.6,0.7416666666666667,0.809090909090909,0.05416666666666666,0.0841625411530173,5.456649831649831,0.7342019543973943
Combined,anchored_quadratic_month_fe_60,"Quadratic trend + month effects, anchored 60% to recent seasonal mean",True,0.7,0.8583333333333334,0.9363636363636363,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,log_anchored_quadratic_month_fe_30,"Log-quadratic trend + month effects, anchored 30% to recent seasonal mean",True,0.7,0.7916666666666666,0.8636363636363634,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,log_anchored_quadratic_month_fe_40,"Log-quadratic trend + month effects, anchored 40% to recent seasonal mean",True,0.7,0.8166666666666668,0.8909090909090909,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
Combined,log_anchored_quadratic_month_fe_50,"Log-quadratic trend + month effects, anchored 50% to recent seasonal mean",True,0.7,0.85,0.927272727272727,0.05416666666666666,0.0841625411530173,5.256734006734006,0.7342019543973943
