Outcome,Period,State,State Code,Deaths,Population,"Crude rate (/100,000)","AAMR (/100,000)"
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Nevada,32.0,151.0,6534934.0,2.3106583784931876,1.9000000000000001
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),New Hampshire,33.0,32.0,2818064.0,1.1355313435039092,0.8
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),New Jersey,34.0,250.0,19001702.0,1.3156716172056586,1.05
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),New Mexico,35.0,76.0,4260512.0,1.7838231649153904,1.5
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),New York,36.0,461.0,39734496.0,1.1602009498245556,0.8500000000000001
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),North Carolina,37.0,335.0,22092048.0,1.5163827273958483,1.2000000000000002
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),North Dakota,38.0,18.0,1593136.0,1.129847043817979,1.05
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Ohio,39.0,355.0,23766608.0,1.4936923266458555,1.2
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Oklahoma,40.0,83.0,8190786.0,1.0133337630845196,0.9
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Oregon,41.0,130.0,8544742.0,1.5214034548965902,1.1500000000000001
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Pennsylvania,42.0,392.0,26157502.0,1.498614049613759,1.05
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Rhode Island,44.0,11.0,2224616.0,0.4944673597600664,0.4
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),South Carolina,45.0,197.0,10957662.0,1.7978287704074098,1.3499999999999999
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),South Dakota,46.0,26.0,1849338.0,1.4059084926606171,1.2
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Tennessee,47.0,232.0,14455500.0,1.604925460897236,1.3
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Texas,48.0,823.0,62581662.0,1.3150817247391096,1.25
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Utah,49.0,82.0,7007226.0,1.1702205694521628,1.25
ARDS (ARDS + Pneumonia),Post-pandemic (2024-2025),Vermont,50.0,0.0,1296986.0,0.0,0.0
