Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences",,,,,,,,,,,,,,
in information available to individual states and probable errors. Caution should be used in interpreting these data. More,,,,,,,,,,,,,,
information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.,,,,,,,,,,,,,,
"9. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,",,,,,,,,,,,,,,
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,",,,,,,,,,,,,,,
Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the,,,,,,,,,,,,,,
2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and,,,,,,,,,,,,,,
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,",,,,,,,,,,,,,,
2020.,,,,,,,,,,,,,,
10. Changes to cause of death classification affect reporting trends. More information:,,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes.,,,,,,,,,,,,,,
,Other bacterial diseases,A30-A49,2018,2018,Medical Facility - Inpatient,1.0,162293,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Medical Facility - Outpatient or ER,2.0,6592,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Medical Facility - Dead on Arrival,3.0,102,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Decedent's home,4.0,9054,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Hospice facility,5.0,12904,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Nursing home/long term care,6.0,13170,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Other,7.0,1770,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2018,2018,Place of death unknown,9.0,40,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Medical Facility - Inpatient,1.0,158317,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Medical Facility - Outpatient or ER,2.0,6759,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Medical Facility - Dead on Arrival,3.0,81,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Decedent's home,4.0,9018,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Hospice facility,5.0,12840,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Nursing home/long term care,6.0,12106,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Other,7.0,1942,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2019,2019,Place of death unknown,9.0,29,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Medical Facility - Inpatient,1.0,192234,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Medical Facility - Outpatient or ER,2.0,8557,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Medical Facility - Dead on Arrival,3.0,122,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Decedent's home,4.0,13000,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Hospice facility,5.0,13161,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Nursing home/long term care,6.0,12456,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Other,7.0,2591,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2020,2020,Place of death unknown,9.0,34,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Medical Facility - Inpatient,1.0,212446,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Medical Facility - Outpatient or ER,2.0,9105,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Medical Facility - Dead on Arrival,3.0,103,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Decedent's home,4.0,12927,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Hospice facility,5.0,12843,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Nursing home/long term care,6.0,10541,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Other,7.0,2962,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Place of death unknown,9.0,19,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Medical Facility - Inpatient,1.0,196612,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Medical Facility - Outpatient or ER,2.0,8938,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Medical Facility - Dead on Arrival,3.0,99,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Decedent's home,4.0,12168,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Hospice facility,5.0,12549,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Nursing home/long term care,6.0,10427,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Other,7.0,2874,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Medical Facility - Inpatient,1.0,180470,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Medical Facility - Outpatient or ER,2.0,8089,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Medical Facility - Dead on Arrival,3.0,71,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Decedent's home,4.0,11523,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Hospice facility,5.0,12660,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Nursing home/long term care,6.0,10250,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Other,7.0,2426,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Medical Facility - Inpatient,1.0,176422,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Medical Facility - Outpatient or ER,2.0,7904,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Medical Facility - Dead on Arrival,3.0,86,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Decedent's home,4.0,11246,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Hospice facility,5.0,13309,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Nursing home/long term care,6.0,9946,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Other,7.0,2264,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
