Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2011,2011,North Carolina,37.0,115,9656401.0,1.2,1.0,1.4,1.1,0.9,1.4
,Influenza and pneumonia,J09-J18,2011,2011,North Dakota,38.0,Suppressed,683932.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2011,2011,Ohio,39.0,145,11544951.0,1.3,1.1,1.5,1.1,0.9,1.3
,Influenza and pneumonia,J09-J18,2011,2011,Oklahoma,40.0,49,3791508.0,1.3,1.0,1.7,1.2,0.9,1.5
,Influenza and pneumonia,J09-J18,2011,2011,Oregon,41.0,45,3871859.0,1.2,0.8,1.6,1.0,0.7,1.3
,Influenza and pneumonia,J09-J18,2011,2011,Pennsylvania,42.0,132,12742886.0,1.0,0.9,1.2,0.8,0.7,1.0
,Influenza and pneumonia,J09-J18,2011,2011,Rhode Island,44.0,12,1051302.0,Unreliable,0.6,2.0,Unreliable,0.5,1.8
,Influenza and pneumonia,J09-J18,2011,2011,South Carolina,45.0,52,4679230.0,1.1,0.8,1.5,1.1,0.8,1.4
,Influenza and pneumonia,J09-J18,2011,2011,South Dakota,46.0,Suppressed,824082.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2011,2011,Tennessee,47.0,101,6403353.0,1.6,1.3,1.9,1.5,1.2,1.8
,Influenza and pneumonia,J09-J18,2011,2011,Texas,48.0,248,25674681.0,1.0,0.8,1.1,1.0,0.9,1.2
,Influenza and pneumonia,J09-J18,2011,2011,Utah,49.0,29,2817222.0,1.0,0.7,1.5,1.4,0.9,2.0
,Influenza and pneumonia,J09-J18,2011,2011,Vermont,50.0,Suppressed,626431.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2011,2011,Virginia,51.0,71,8096604.0,0.9,0.7,1.1,0.8,0.6,1.0
,Influenza and pneumonia,J09-J18,2011,2011,Washington,53.0,94,6830038.0,1.4,1.1,1.7,1.3,1.0,1.5
,Influenza and pneumonia,J09-J18,2011,2011,West Virginia,54.0,42,1855364.0,2.3,1.6,3.1,1.9,1.4,2.7
,Influenza and pneumonia,J09-J18,2011,2011,Wisconsin,55.0,42,5711767.0,0.7,0.5,1.0,0.6,0.5,0.9
,Influenza and pneumonia,J09-J18,2011,2011,Wyoming,56.0,Suppressed,568158.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Total,Influenza and pneumonia,J09-J18,2011,2011,,,3378,311591917.0,1.1,1.0,1.1,1.0,1.0,1.1
,Influenza and pneumonia,J09-J18,2012,2012,Alabama,1.0,85,4822023.0,1.8,1.4,2.2,1.6,1.3,2.0
,Influenza and pneumonia,J09-J18,2012,2012,Alaska,2.0,Suppressed,731449.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2012,2012,Arizona,4.0,80,6553255.0,1.2,1.0,1.5,1.1,0.9,1.4
,Influenza and pneumonia,J09-J18,2012,2012,Arkansas,5.0,47,2949131.0,1.6,1.2,2.1,1.4,1.0,1.9
,Influenza and pneumonia,J09-J18,2012,2012,California,6.0,384,38041430.0,1.0,0.9,1.1,1.0,0.9,1.1
,Influenza and pneumonia,J09-J18,2012,2012,Colorado,8.0,34,5187582.0,0.7,0.5,0.9,0.6,0.4,0.9
,Influenza and pneumonia,J09-J18,2012,2012,Connecticut,9.0,33,3590347.0,0.9,0.6,1.3,0.8,0.5,1.1
,Influenza and pneumonia,J09-J18,2012,2012,Delaware,10.0,15,917092.0,Unreliable,0.9,2.7,Unreliable,0.8,2.4
,Influenza and pneumonia,J09-J18,2012,2012,District of Columbia,11.0,Suppressed,632323.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2012,2012,Florida,12.0,178,19317568.0,0.9,0.8,1.1,0.7,0.6,0.8
,Influenza and pneumonia,J09-J18,2012,2012,Georgia,13.0,105,9919945.0,1.1,0.9,1.3,1.1,0.9,1.3
,Influenza and pneumonia,J09-J18,2012,2012,Hawaii,15.0,20,1392313.0,1.4,0.9,2.2,1.2,0.7,1.8
,Influenza and pneumonia,J09-J18,2012,2012,Idaho,16.0,22,1595728.0,1.4,0.9,2.1,1.2,0.8,1.9
,Influenza and pneumonia,J09-J18,2012,2012,Illinois,17.0,93,12875255.0,0.7,0.6,0.9,0.7,0.6,0.9
,Influenza and pneumonia,J09-J18,2012,2012,Indiana,18.0,66,6537334.0,1.0,0.8,1.3,0.9,0.7,1.2
,Influenza and pneumonia,J09-J18,2012,2012,Iowa,19.0,24,3074186.0,0.8,0.5,1.2,0.7,0.4,1.0
,Influenza and pneumonia,J09-J18,2012,2012,Kansas,20.0,19,2885905.0,Unreliable,0.4,1.0,Unreliable,0.4,0.9
,Influenza and pneumonia,J09-J18,2012,2012,Kentucky,21.0,50,4380415.0,1.1,0.8,1.5,1.0,0.8,1.4
,Influenza and pneumonia,J09-J18,2012,2012,Louisiana,22.0,38,4601893.0,0.8,0.6,1.1,0.8,0.6,1.1
,Influenza and pneumonia,J09-J18,2012,2012,Maine,23.0,10,1329192.0,Unreliable,0.4,1.4,Unreliable,0.3,1.1
,Influenza and pneumonia,J09-J18,2012,2012,Maryland,24.0,67,5884563.0,1.1,0.9,1.4,1.1,0.8,1.3
,Influenza and pneumonia,J09-J18,2012,2012,Massachusetts,25.0,40,6646144.0,0.6,0.4,0.8,0.5,0.4,0.7
,Influenza and pneumonia,J09-J18,2012,2012,Michigan,26.0,102,9883360.0,1.0,0.8,1.2,0.9,0.7,1.1
,Influenza and pneumonia,J09-J18,2012,2012,Minnesota,27.0,58,5379139.0,1.1,0.8,1.4,1.0,0.7,1.2
,Influenza and pneumonia,J09-J18,2012,2012,Mississippi,28.0,47,2984926.0,1.6,1.2,2.1,1.5,1.1,1.9
,Influenza and pneumonia,J09-J18,2012,2012,Missouri,29.0,53,6021988.0,0.9,0.7,1.2,0.7,0.5,1.0
,Influenza and pneumonia,J09-J18,2012,2012,Montana,30.0,Suppressed,1005141.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2012,2012,Nebraska,31.0,20,1855525.0,1.1,0.7,1.7,1.0,0.6,1.5
,Influenza and pneumonia,J09-J18,2012,2012,Nevada,32.0,14,2758931.0,Unreliable,0.3,0.9,Unreliable,0.2,0.8
,Influenza and pneumonia,J09-J18,2012,2012,New Hampshire,33.0,16,1320718.0,Unreliable,0.7,2.0,Unreliable,0.6,1.7
,Influenza and pneumonia,J09-J18,2012,2012,New Jersey,34.0,80,8864590.0,0.9,0.7,1.1,0.8,0.6,1.0
,Influenza and pneumonia,J09-J18,2012,2012,New Mexico,35.0,20,2085538.0,1.0,0.6,1.5,0.8,0.5,1.3
,Influenza and pneumonia,J09-J18,2012,2012,New York,36.0,159,19570261.0,0.8,0.7,0.9,0.7,0.6,0.8
,Influenza and pneumonia,J09-J18,2012,2012,North Carolina,37.0,112,9752073.0,1.1,0.9,1.4,1.1,0.9,1.3
,Influenza and pneumonia,J09-J18,2012,2012,North Dakota,38.0,Suppressed,699628.0,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,Influenza and pneumonia,J09-J18,2012,2012,Ohio,39.0,104,11544225.0,0.9,0.7,1.1,0.8,0.6,0.9
,Influenza and pneumonia,J09-J18,2012,2012,Oklahoma,40.0,51,3814820.0,1.3,1.0,1.8,1.2,0.9,1.6
,Influenza and pneumonia,J09-J18,2012,2012,Oregon,41.0,25,3899353.0,0.6,0.4,0.9,0.5,0.4,0.8
,Influenza and pneumonia,J09-J18,2012,2012,Pennsylvania,42.0,144,12763536.0,1.1,0.9,1.3,0.9,0.8,1.1
,Influenza and pneumonia,J09-J18,2012,2012,Rhode Island,44.0,10,1050292.0,Unreliable,0.5,1.8,Unreliable,0.4,1.5
,Influenza and pneumonia,J09-J18,2012,2012,South Carolina,45.0,57,4723723.0,1.2,0.9,1.6,1.2,0.9,1.5
