Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2011,2011,Missouri,29.0,3279.0,6010688.0,54.6,47.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,Montana,30.0,337.0,998199.0,33.8,28.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Nebraska,31.0,621.0,1842641.0,33.7,29.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,Nevada,32.0,1437.0,2723322.0,52.8,54.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,New Hampshire,33.0,558.0,1318194.0,42.3,36.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,New Jersey,34.0,6349.0,8821155.0,72.0,62.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,New Mexico,35.0,1051.0,2082224.0,50.5,47.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,New York,36.0,10181.0,19465197.0,52.3,45.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,North Carolina,37.0,5661.0,9656401.0,58.6,55.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,North Dakota,38.0,276.0,683932.0,40.4,33.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Ohio,39.0,7035.0,11544951.0,60.9,51.8,,,,
,Other bacterial diseases,A30-A49,2011,2011,Oklahoma,40.0,2366.0,3791508.0,62.4,57.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Oregon,41.0,1381.0,3871859.0,35.7,30.7,,,,
,Other bacterial diseases,A30-A49,2011,2011,Pennsylvania,42.0,7997.0,12742886.0,62.8,48.5,,,,
,Other bacterial diseases,A30-A49,2011,2011,Rhode Island,44.0,798.0,1051302.0,75.9,59.9,,,,
,Other bacterial diseases,A30-A49,2011,2011,South Carolina,45.0,3057.0,4679230.0,65.3,60.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,South Dakota,46.0,317.0,824082.0,38.5,32.0,,,,
,Other bacterial diseases,A30-A49,2011,2011,Tennessee,47.0,3846.0,6403353.0,60.1,55.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Texas,48.0,13717.0,25674681.0,53.4,61.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Utah,49.0,799.0,2817222.0,28.4,36.6,,,,
,Other bacterial diseases,A30-A49,2011,2011,Vermont,50.0,267.0,626431.0,42.6,35.1,,,,
,Other bacterial diseases,A30-A49,2011,2011,Virginia,51.0,4541.0,8096604.0,56.1,55.4,,,,
,Other bacterial diseases,A30-A49,2011,2011,Washington,53.0,2978.0,6830038.0,43.6,41.5,,,,
,Other bacterial diseases,A30-A49,2011,2011,West Virginia,54.0,1479.0,1855364.0,79.7,63.5,,,,
,Other bacterial diseases,A30-A49,2011,2011,Wisconsin,55.0,2078.0,5711767.0,36.4,31.2,,,,
,Other bacterial diseases,A30-A49,2011,2011,Wyoming,56.0,190.0,568158.0,33.4,32.0,,,,
Total,Other bacterial diseases,A30-A49,2011,2011,,,164805.0,311591917.0,52.9,48.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,Alabama,1.0,3145.0,4822023.0,65.2,58.2,,,,
,Other bacterial diseases,A30-A49,2012,2012,Alaska,2.0,205.0,731449.0,28.0,39.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,Arizona,4.0,2722.0,6553255.0,41.5,37.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Arkansas,5.0,1912.0,2949131.0,64.8,56.5,,,,
,Other bacterial diseases,A30-A49,2012,2012,California,6.0,18047.0,38041430.0,47.4,47.1,,,,
,Other bacterial diseases,A30-A49,2012,2012,Colorado,8.0,1581.0,5187582.0,30.5,31.7,,,,
,Other bacterial diseases,A30-A49,2012,2012,Connecticut,9.0,2131.0,3590347.0,59.4,47.4,,,,
,Other bacterial diseases,A30-A49,2012,2012,Delaware,10.0,481.0,917092.0,52.4,44.0,,,,
