Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,State,State Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Influenza and pneumonia,J09-J18,2013,2013,Michigan,26.0,5321.0,9895622.0,53.8,44.4,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Minnesota,27.0,2211.0,5420380.0,40.8,34.2,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Mississippi,28.0,1926.0,2991207.0,64.4,60.7,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Missouri,29.0,3449.0,6044171.0,57.1,47.7,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Montana,30.0,503.0,1015165.0,49.5,38.8,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Nebraska,31.0,946.0,1868516.0,50.6,41.3,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Nevada,32.0,1216.0,2790136.0,43.6,43.5,,,,
,Influenza and pneumonia,J09-J18,2013,2013,New Hampshire,33.0,632.0,1323459.0,47.8,38.9,,,,
,Influenza and pneumonia,J09-J18,2013,2013,New Jersey,34.0,4037.0,8899339.0,45.4,37.6,,,,
,Influenza and pneumonia,J09-J18,2013,2013,New Mexico,35.0,1040.0,2085287.0,49.9,45.6,,,,
,Influenza and pneumonia,J09-J18,2013,2013,New York,36.0,11202.0,19651127.0,57.0,47.3,,,,
,Influenza and pneumonia,J09-J18,2013,2013,North Carolina,37.0,5634.0,9848060.0,57.2,52.9,,,,
,Influenza and pneumonia,J09-J18,2013,2013,North Dakota,38.0,427.0,723393.0,59.0,46.3,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Ohio,39.0,6785.0,11570808.0,58.6,47.8,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Oklahoma,40.0,2298.0,3850568.0,59.7,54.6,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Oregon,41.0,1558.0,3930065.0,39.6,32.5,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Pennsylvania,42.0,7512.0,12773801.0,58.8,42.6,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Rhode Island,44.0,729.0,1051511.0,69.3,50.1,,,,
,Influenza and pneumonia,J09-J18,2013,2013,South Carolina,45.0,2521.0,4774839.0,52.8,47.5,,,,
,Influenza and pneumonia,J09-J18,2013,2013,South Dakota,46.0,505.0,844877.0,59.8,46.2,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Tennessee,47.0,4307.0,6495978.0,66.3,60.2,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Texas,48.0,11314.0,26448193.0,42.8,48.5,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Utah,49.0,1032.0,2900872.0,35.6,46.2,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Vermont,50.0,361.0,626630.0,57.6,44.3,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Virginia,51.0,3766.0,8260405.0,45.6,44.1,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Washington,53.0,3139.0,6971406.0,45.0,41.5,,,,
,Influenza and pneumonia,J09-J18,2013,2013,West Virginia,54.0,1512.0,1854304.0,81.5,63.1,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Wisconsin,55.0,2860.0,5742713.0,49.8,40.2,,,,
,Influenza and pneumonia,J09-J18,2013,2013,Wyoming,56.0,270.0,582658.0,46.3,44.3,,,,
Total,Influenza and pneumonia,J09-J18,2013,2013,,,160443.0,316128839.0,50.8,44.9,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Alabama,1.0,2635.0,4849377.0,54.3,47.6,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Alaska,2.0,212.0,736732.0,28.8,43.4,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Arizona,4.0,2524.0,6731484.0,37.5,32.1,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Arkansas,5.0,1935.0,2966369.0,65.2,55.6,,,,
,Influenza and pneumonia,J09-J18,2014,2014,California,6.0,17032.0,38802500.0,43.9,42.0,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Colorado,8.0,1844.0,5355866.0,34.4,35.1,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Connecticut,9.0,1784.0,3596677.0,49.6,37.1,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Delaware,10.0,474.0,935614.0,50.7,41.8,,,,
,Influenza and pneumonia,J09-J18,2014,2014,District of Columbia,11.0,227.0,658893.0,34.5,35.7,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Florida,12.0,8277.0,19893297.0,41.6,28.8,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Georgia,13.0,3877.0,10097343.0,38.4,41.5,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Hawaii,15.0,995.0,1419561.0,70.1,51.7,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Idaho,16.0,621.0,1634464.0,38.0,35.7,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Illinois,17.0,6348.0,12880580.0,49.3,43.3,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Indiana,18.0,3601.0,6596855.0,54.6,48.1,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Iowa,19.0,1669.0,3107126.0,53.7,39.5,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Kansas,20.0,1563.0,2904021.0,53.8,44.7,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Kentucky,21.0,2924.0,4413457.0,66.3,59.6,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Louisiana,22.0,2013.0,4649676.0,43.3,41.5,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Maine,23.0,781.0,1330089.0,58.7,41.0,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Maryland,24.0,2741.0,5976407.0,45.9,41.7,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Massachusetts,25.0,3824.0,6745408.0,56.7,44.6,,,,
,Influenza and pneumonia,J09-J18,2014,2014,Michigan,26.0,5194.0,9909877.0,52.4,42.9,,,,
