Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Sex,Sex Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1",,,,,,,,,,,,,,
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures",,,,,,,,,,,,,,
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1",,,,,,,,,,,,,,
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012.",,,,,,,,,,,,,,
Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of,,,,,,,,,,,,,,
July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population,,,,,,,,,,,,,,
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which",,,,,,,,,,,,,,
were available at the time of release.,,,,,,,,,,,,,,
8. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,,,,,,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,,,,,,,,,,
"9. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99",,,,,,,,,,,,,,
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences",,,,,,,,,,,,,,
in information available to individual states and probable errors. Caution should be used in interpreting these data. More,,,,,,,,,,,,,,
information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.,,,,,,,,,,,,,,
"10. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March",,,,,,,,,,,,,,
"4, 2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,",,,,,,,,,,,,,,
Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the,,,,,,,,,,,,,,
2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and,,,,,,,,,,,,,,
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,",,,,,,,,,,,,,,
2020.,,,,,,,,,,,,,,
11. Changes to cause of death classification affect reporting trends. More information:,,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes.,,,,,,,,,,,,,,
,Other bacterial diseases,A30-A49,2018,2018,Female,F,102960.0,166038755.0,62.0,61.6,62.4,46.1,45.8,46.4
,Other bacterial diseases,A30-A49,2018,2018,Male,M,102965.0,161128679.0,63.9,63.5,64.3,59.5,59.1,59.8
Total,Other bacterial diseases,A30-A49,2018,2018,,,205925.0,327167434.0,62.9,62.7,63.2,51.9,51.6,52.1
,Other bacterial diseases,A30-A49,2019,2019,Female,F,99837.0,166582199.0,59.9,59.6,60.3,44.0,43.8,44.3
,Other bacterial diseases,A30-A49,2019,2019,Male,M,101255.0,161657324.0,62.6,62.2,63.0,57.1,56.8,57.5
Total,Other bacterial diseases,A30-A49,2019,2019,,,201092.0,328239523.0,61.3,61.0,61.5,49.7,49.5,49.9
,Other bacterial diseases,A30-A49,2020,2020,Female,F,116977.0,167227921.0,70.0,69.5,70.4,51.1,50.8,51.4
,Other bacterial diseases,A30-A49,2020,2020,Male,M,125178.0,162256202.0,77.1,76.7,77.6,68.8,68.5,69.2
Total,Other bacterial diseases,A30-A49,2020,2020,,,242155.0,329484123.0,73.5,73.2,73.8,58.9,58.6,59.1
,Other bacterial diseases,A30-A49,2021,2021,Female,F,124494.0,167509003.0,74.3,73.9,74.7,56.1,55.8,56.4
,Other bacterial diseases,A30-A49,2021,2021,Male,M,136452.0,164384742.0,83.0,82.6,83.4,75.3,74.9,75.7
Total,Other bacterial diseases,A30-A49,2021,2021,,,260946.0,331893745.0,78.6,78.3,78.9,64.6,64.4,64.9
,Other bacterial diseases,A30-A49,2022,2022,Female,F,118857.0,168004004.0,70.7,70.3,71.1,51.1,50.9,51.4
,Other bacterial diseases,A30-A49,2022,2022,Male,M,124815.0,165283553.0,75.5,75.1,75.9,67.3,66.9,67.7
Total,Other bacterial diseases,A30-A49,2022,2022,,,243672.0,333287557.0,73.1,72.8,73.4,58.1,57.9,58.3
,Other bacterial diseases,A30-A49,2023,2023,Female,F,110395.0,169165495.0,65.3,64.9,65.6,47.3,47.0,47.6
,Other bacterial diseases,A30-A49,2023,2023,Male,M,115097.0,165749400.0,69.4,69.0,69.8,61.1,60.8,61.5
Total,Other bacterial diseases,A30-A49,2023,2023,,,225492.0,334914895.0,67.3,67.1,67.6,53.3,53.1,53.6
,Other bacterial diseases,A30-A49,2024,2024,Female,F,108881.0,171773106.0,63.4,63.0,63.8,45.4,45.1,45.6
,Other bacterial diseases,A30-A49,2024,2024,Male,M,112312.0,168337882.0,66.7,66.3,67.1,57.7,57.3,58.0
Total,Other bacterial diseases,A30-A49,2024,2024,,,221193.0,340110988.0,65.0,64.8,65.3,50.7,50.5,51.0
,Other bacterial diseases,A30-A49,2025,2025,Female,F,108127.0,171773106.0,62.9,62.6,63.3,45.0,44.7,45.2
,Other bacterial diseases,A30-A49,2025,2025,Male,M,112999.0,168337882.0,67.1,66.7,67.5,58.1,57.7,58.4
Total,Other bacterial diseases,A30-A49,2025,2025,,,221126.0,340110988.0,65.0,64.7,65.3,50.7,50.5,50.9
