Notes,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Year,Year Code,Place of Death,Place of Death Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
,Other bacterial diseases,A30-A49,2021,2021,Decedent's home,4.0,1890,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Hospice facility,5.0,2520,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Nursing home/long term care,6.0,1584,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Other,7.0,711,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2021,2021,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Medical Facility - Inpatient,1.0,50933,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Medical Facility - Outpatient or ER,2.0,1920,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Medical Facility - Dead on Arrival,3.0,18,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Decedent's home,4.0,1715,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Hospice facility,5.0,2441,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Nursing home/long term care,6.0,1446,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Other,7.0,580,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2022,2022,Place of death unknown,9.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Medical Facility - Inpatient,1.0,42264,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Medical Facility - Outpatient or ER,2.0,1676,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Medical Facility - Dead on Arrival,3.0,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Decedent's home,4.0,1605,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Hospice facility,5.0,2481,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Nursing home/long term care,6.0,1544,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Other,7.0,443,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2023,2023,Place of death unknown,9.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Medical Facility - Inpatient,1.0,42075,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Medical Facility - Outpatient or ER,2.0,1673,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Medical Facility - Dead on Arrival,3.0,16,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Decedent's home,4.0,1563,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Hospice facility,5.0,2616,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Nursing home/long term care,6.0,1571,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Other,7.0,420,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2024,2024,Place of death unknown,9.0,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Medical Facility - Inpatient,1.0,42238,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Medical Facility - Outpatient or ER,2.0,1651,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Medical Facility - Dead on Arrival,3.0,13,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Medical Facility - Status unknown,10.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Decedent's home,4.0,1679,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Hospice facility,5.0,2712,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Nursing home/long term care,6.0,1513,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Other,7.0,386,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,Other bacterial diseases,A30-A49,2025,2025,Place of death unknown,9.0,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
